# wavelength[nm] / analyte_index / effective index isolated plasmonic lossy
 (1572.289157+0.000000j)	 (1.420000+0.000000j)	 (2.012666+0.118548j)
 (1574.698795+0.000000j)	 (1.420000+0.000000j)	 (2.011085+0.118253j)
 (1577.108434+0.000000j)	 (1.420000+0.000000j)	 (2.009509+0.117958j)
 (1579.518072+0.000000j)	 (1.420000+0.000000j)	 (2.007937+0.117661j)
 (1581.927711+0.000000j)	 (1.420000+0.000000j)	 (2.006370+0.117364j)
 (1584.337349+0.000000j)	 (1.420000+0.000000j)	 (2.004807+0.117067j)
 (1586.746988+0.000000j)	 (1.420000+0.000000j)	 (2.003248+0.116768j)
 (1589.156627+0.000000j)	 (1.420000+0.000000j)	 (2.001694+0.116469j)
 (1591.566265+0.000000j)	 (1.420000+0.000000j)	 (2.000145+0.116170j)
 (1593.975904+0.000000j)	 (1.420000+0.000000j)	 (1.998600+0.115871j)
 (1596.385542+0.000000j)	 (1.420000+0.000000j)	 (1.997058+0.115571j)
 (1598.795181+0.000000j)	 (1.420000+0.000000j)	 (1.995522+0.115270j)
 (1601.204819+0.000000j)	 (1.420000+0.000000j)	 (1.993989+0.114970j)
 (1603.614458+0.000000j)	 (1.420000+0.000000j)	 (1.992460+0.114669j)
 (1606.024096+0.000000j)	 (1.420000+0.000000j)	 (1.990936+0.114369j)
 (1608.433735+0.000000j)	 (1.420000+0.000000j)	 (1.989415+0.114068j)
 (1610.843373+0.000000j)	 (1.420000+0.000000j)	 (1.987899+0.113768j)
 (1613.253012+0.000000j)	 (1.420000+0.000000j)	 (1.986387+0.113467j)
 (1615.662651+0.000000j)	 (1.420000+0.000000j)	 (1.984878+0.113167j)
 (1618.072289+0.000000j)	 (1.420000+0.000000j)	 (1.983374+0.112867j)
 (1620.481928+0.000000j)	 (1.420000+0.000000j)	 (1.981874+0.112568j)
 (1622.891566+0.000000j)	 (1.420000+0.000000j)	 (1.980377+0.112268j)
 (1625.301205+0.000000j)	 (1.420000+0.000000j)	 (1.978885+0.111969j)
 (1627.710843+0.000000j)	 (1.420000+0.000000j)	 (1.977396+0.111671j)
 (1630.120482+0.000000j)	 (1.420000+0.000000j)	 (1.975912+0.111373j)
 (1632.530120+0.000000j)	 (1.420000+0.000000j)	 (1.974431+0.111076j)
 (1634.939759+0.000000j)	 (1.420000+0.000000j)	 (1.972954+0.110779j)
 (1637.349398+0.000000j)	 (1.420000+0.000000j)	 (1.971481+0.110483j)
 (1639.759036+0.000000j)	 (1.420000+0.000000j)	 (1.970012+0.110188j)
 (1642.168675+0.000000j)	 (1.420000+0.000000j)	 (1.968546+0.109893j)
 (1644.578313+0.000000j)	 (1.420000+0.000000j)	 (1.967085+0.109600j)
 (1646.987952+0.000000j)	 (1.420000+0.000000j)	 (1.965627+0.109307j)
 (1649.397590+0.000000j)	 (1.420000+0.000000j)	 (1.964173+0.109015j)
 (1651.807229+0.000000j)	 (1.420000+0.000000j)	 (1.962723+0.108723j)
 (1654.216867+0.000000j)	 (1.420000+0.000000j)	 (1.961277+0.108433j)
 (1656.626506+0.000000j)	 (1.420000+0.000000j)	 (1.959834+0.108144j)
 (1659.036145+0.000000j)	 (1.420000+0.000000j)	 (1.958395+0.107856j)
 (1661.445783+0.000000j)	 (1.420000+0.000000j)	 (1.956961+0.107569j)
 (1663.855422+0.000000j)	 (1.420000+0.000000j)	 (1.955530+0.107283j)
 (1666.265060+0.000000j)	 (1.420000+0.000000j)	 (1.954102+0.106998j)
 (1668.674699+0.000000j)	 (1.420000+0.000000j)	 (1.952679+0.106715j)
 (1671.084337+0.000000j)	 (1.420000+0.000000j)	 (1.951259+0.106432j)
 (1673.493976+0.000000j)	 (1.420000+0.000000j)	 (1.949843+0.106151j)
 (1675.903614+0.000000j)	 (1.420000+0.000000j)	 (1.948431+0.105871j)
 (1678.313253+0.000000j)	 (1.420000+0.000000j)	 (1.947023+0.105593j)
 (1680.722892+0.000000j)	 (1.420000+0.000000j)	 (1.945619+0.105315j)
 (1683.132530+0.000000j)	 (1.420000+0.000000j)	 (1.944218+0.105039j)
 (1685.542169+0.000000j)	 (1.420000+0.000000j)	 (1.942821+0.104764j)
 (1687.951807+0.000000j)	 (1.420000+0.000000j)	 (1.941428+0.104491j)
 (1690.361446+0.000000j)	 (1.420000+0.000000j)	 (1.940039+0.104219j)
 (1692.771084+0.000000j)	 (1.420000+0.000000j)	 (1.938654+0.103949j)
 (1695.180723+0.000000j)	 (1.420000+0.000000j)	 (1.937272+0.103680j)
 (1697.590361+0.000000j)	 (1.420000+0.000000j)	 (1.935895+0.103412j)
 (1700.000000+0.000000j)	 (1.420000+0.000000j)	 (1.934521+0.103146j)
 (1702.409639+0.000000j)	 (1.420000+0.000000j)	 (1.933151+0.102881j)
 (1704.819277+0.000000j)	 (1.420000+0.000000j)	 (1.931785+0.102618j)
 (1707.228916+0.000000j)	 (1.420000+0.000000j)	 (1.930423+0.102356j)
 (1709.638554+0.000000j)	 (1.420000+0.000000j)	 (1.929064+0.102096j)
 (1712.048193+0.000000j)	 (1.420000+0.000000j)	 (1.927710+0.101837j)
 (1714.457831+0.000000j)	 (1.420000+0.000000j)	 (1.926359+0.101580j)
 (1716.867470+0.000000j)	 (1.420000+0.000000j)	 (1.925012+0.101325j)
 (1719.277108+0.000000j)	 (1.420000+0.000000j)	 (1.923670+0.101071j)
 (1721.686747+0.000000j)	 (1.420000+0.000000j)	 (1.922330+0.100818j)
 (1724.096386+0.000000j)	 (1.420000+0.000000j)	 (1.920995+0.100568j)
 (1726.506024+0.000000j)	 (1.420000+0.000000j)	 (1.919664+0.100318j)
 (1728.915663+0.000000j)	 (1.420000+0.000000j)	 (1.918337+0.100071j)
 (1731.325301+0.000000j)	 (1.420000+0.000000j)	 (1.917013+0.099824j)
 (1733.734940+0.000000j)	 (1.420000+0.000000j)	 (1.915694+0.099580j)
 (1736.144578+0.000000j)	 (1.420000+0.000000j)	 (1.914378+0.099337j)
 (1738.554217+0.000000j)	 (1.420000+0.000000j)	 (1.913066+0.099096j)
 (1740.963855+0.000000j)	 (1.420000+0.000000j)	 (1.911758+0.098856j)
 (1743.373494+0.000000j)	 (1.420000+0.000000j)	 (1.910454+0.098618j)
 (1745.783133+0.000000j)	 (1.420000+0.000000j)	 (1.909154+0.098381j)
 (1748.192771+0.000000j)	 (1.420000+0.000000j)	 (1.907858+0.098146j)
 (1750.602410+0.000000j)	 (1.420000+0.000000j)	 (1.906566+0.097913j)
 (1753.012048+0.000000j)	 (1.420000+0.000000j)	 (1.905278+0.097681j)
 (1755.421687+0.000000j)	 (1.420000+0.000000j)	 (1.903993+0.097451j)
 (1757.831325+0.000000j)	 (1.420000+0.000000j)	 (1.902713+0.097223j)
 (1760.240964+0.000000j)	 (1.420000+0.000000j)	 (1.901436+0.096996j)
 (1762.650602+0.000000j)	 (1.420000+0.000000j)	 (1.900164+0.096771j)
 (1765.060241+0.000000j)	 (1.420000+0.000000j)	 (1.898895+0.096547j)
 (1767.469880+0.000000j)	 (1.420000+0.000000j)	 (1.897630+0.096325j)
 (1769.879518+0.000000j)	 (1.420000+0.000000j)	 (1.896369+0.096104j)
 (1772.289157+0.000000j)	 (1.420000+0.000000j)	 (1.895112+0.095885j)
 (1774.698795+0.000000j)	 (1.420000+0.000000j)	 (1.893859+0.095668j)
 (1777.108434+0.000000j)	 (1.420000+0.000000j)	 (1.892610+0.095452j)
 (1779.518072+0.000000j)	 (1.420000+0.000000j)	 (1.891365+0.095238j)
 (1781.927711+0.000000j)	 (1.420000+0.000000j)	 (1.890124+0.095025j)
 (1784.337349+0.000000j)	 (1.420000+0.000000j)	 (1.888886+0.094814j)
 (1786.746988+0.000000j)	 (1.420000+0.000000j)	 (1.887653+0.094605j)
 (1789.156627+0.000000j)	 (1.420000+0.000000j)	 (1.886423+0.094397j)
 (1791.566265+0.000000j)	 (1.420000+0.000000j)	 (1.885198+0.094190j)
