# wavelength[nm] / analyte_index / effective index supermode 2 lossless
 (1553.012048+0.000000j)	 (1.420000+0.000000j)	 (1.985987+0.000000j)
 (1555.421687+0.000000j)	 (1.420000+0.000000j)	 (1.983212+0.000000j)
 (1557.831325+0.000000j)	 (1.420000+0.000000j)	 (1.980434+0.000000j)
 (1560.240964+0.000000j)	 (1.420000+0.000000j)	 (1.977654-0.000000j)
 (1562.650602+0.000000j)	 (1.420000+0.000000j)	 (1.974872-0.000000j)
 (1565.060241+0.000000j)	 (1.420000+0.000000j)	 (1.972090+0.000000j)
 (1567.469880+0.000000j)	 (1.420000+0.000000j)	 (1.969306-0.000000j)
 (1569.879518+0.000000j)	 (1.420000+0.000000j)	 (1.966522-0.000000j)
 (1572.289157+0.000000j)	 (1.420000+0.000000j)	 (1.963738+0.000000j)
 (1574.698795+0.000000j)	 (1.420000+0.000000j)	 (1.960953+0.000000j)
 (1577.108434+0.000000j)	 (1.420000+0.000000j)	 (1.958168-0.000000j)
 (1579.518072+0.000000j)	 (1.420000+0.000000j)	 (1.955384+0.000000j)
 (1581.927711+0.000000j)	 (1.420000+0.000000j)	 (1.952601+0.000000j)
 (1584.337349+0.000000j)	 (1.420000+0.000000j)	 (1.949818+0.000000j)
 (1586.746988+0.000000j)	 (1.420000+0.000000j)	 (1.947037-0.000000j)
 (1589.156627+0.000000j)	 (1.420000+0.000000j)	 (1.944257-0.000000j)
 (1591.566265+0.000000j)	 (1.420000+0.000000j)	 (1.941479-0.000000j)
 (1593.975904+0.000000j)	 (1.420000+0.000000j)	 (1.938703+0.000000j)
 (1596.385542+0.000000j)	 (1.420000+0.000000j)	 (1.935929+0.000000j)
 (1598.795181+0.000000j)	 (1.420000+0.000000j)	 (1.933158+0.000000j)
 (1601.204819+0.000000j)	 (1.420000+0.000000j)	 (1.930390+0.000000j)
 (1603.614458+0.000000j)	 (1.420000+0.000000j)	 (1.927625+0.000000j)
 (1606.024096+0.000000j)	 (1.420000+0.000000j)	 (1.924863+0.000000j)
 (1608.433735+0.000000j)	 (1.420000+0.000000j)	 (1.922104+0.000000j)
 (1610.843373+0.000000j)	 (1.420000+0.000000j)	 (1.919349-0.000000j)
 (1613.253012+0.000000j)	 (1.420000+0.000000j)	 (1.916599+0.000000j)
 (1615.662651+0.000000j)	 (1.420000+0.000000j)	 (1.913852-0.000000j)
 (1618.072289+0.000000j)	 (1.420000+0.000000j)	 (1.911110-0.000000j)
 (1620.481928+0.000000j)	 (1.420000+0.000000j)	 (1.908373-0.000000j)
 (1622.891566+0.000000j)	 (1.420000+0.000000j)	 (1.905641-0.000000j)
 (1625.301205+0.000000j)	 (1.420000+0.000000j)	 (1.902914-0.000000j)
 (1627.710843+0.000000j)	 (1.420000+0.000000j)	 (1.900192+0.000000j)
 (1630.120482+0.000000j)	 (1.420000+0.000000j)	 (1.897476-0.000000j)
 (1632.530120+0.000000j)	 (1.420000+0.000000j)	 (1.894765-0.000000j)
 (1634.939759+0.000000j)	 (1.420000+0.000000j)	 (1.892061-0.000000j)
 (1637.349398+0.000000j)	 (1.420000+0.000000j)	 (1.889363-0.000000j)
 (1639.759036+0.000000j)	 (1.420000+0.000000j)	 (1.886671-0.000000j)
 (1642.168675+0.000000j)	 (1.420000+0.000000j)	 (1.883986+0.000000j)
 (1644.578313+0.000000j)	 (1.420000+0.000000j)	 (1.881307+0.000000j)
 (1646.987952+0.000000j)	 (1.420000+0.000000j)	 (1.878636-0.000000j)
 (1649.397590+0.000000j)	 (1.420000+0.000000j)	 (1.875971+0.000000j)
 (1651.807229+0.000000j)	 (1.420000+0.000000j)	 (1.873314+0.000000j)
 (1654.216867+0.000000j)	 (1.420000+0.000000j)	 (1.870665+0.000000j)
 (1656.626506+0.000000j)	 (1.420000+0.000000j)	 (1.868023-0.000000j)
 (1659.036145+0.000000j)	 (1.420000+0.000000j)	 (1.865389+0.000000j)
 (1661.445783+0.000000j)	 (1.420000+0.000000j)	 (1.862763+0.000000j)
 (1663.855422+0.000000j)	 (1.420000+0.000000j)	 (1.860145+0.000000j)
 (1666.265060+0.000000j)	 (1.420000+0.000000j)	 (1.857535+0.000000j)
 (1668.674699+0.000000j)	 (1.420000+0.000000j)	 (1.854934+0.000000j)
 (1671.084337+0.000000j)	 (1.420000+0.000000j)	 (1.852341-0.000000j)
 (1673.493976+0.000000j)	 (1.420000+0.000000j)	 (1.849757+0.000000j)
 (1675.903614+0.000000j)	 (1.420000+0.000000j)	 (1.847182-0.000000j)
 (1678.313253+0.000000j)	 (1.420000+0.000000j)	 (1.844616+0.000000j)
 (1680.722892+0.000000j)	 (1.420000+0.000000j)	 (1.842060+0.000000j)
 (1683.132530+0.000000j)	 (1.420000+0.000000j)	 (1.839512+0.000000j)
 (1685.542169+0.000000j)	 (1.420000+0.000000j)	 (1.836974+0.000000j)
 (1687.951807+0.000000j)	 (1.420000+0.000000j)	 (1.834446+0.000000j)
 (1690.361446+0.000000j)	 (1.420000+0.000000j)	 (1.831927+0.000000j)
 (1692.771084+0.000000j)	 (1.420000+0.000000j)	 (1.829418+0.000000j)
 (1695.180723+0.000000j)	 (1.420000+0.000000j)	 (1.826919+0.000000j)
 (1697.590361+0.000000j)	 (1.420000+0.000000j)	 (1.824430-0.000000j)
 (1700.000000+0.000000j)	 (1.420000+0.000000j)	 (1.821951+0.000000j)
 (1702.409639+0.000000j)	 (1.420000+0.000000j)	 (1.819482-0.000000j)
 (1704.819277+0.000000j)	 (1.420000+0.000000j)	 (1.817024+0.000000j)
 (1707.228916+0.000000j)	 (1.420000+0.000000j)	 (1.814576-0.000000j)
 (1709.638554+0.000000j)	 (1.420000+0.000000j)	 (1.812138-0.000000j)
 (1712.048193+0.000000j)	 (1.420000+0.000000j)	 (1.809711+0.000000j)
 (1714.457831+0.000000j)	 (1.420000+0.000000j)	 (1.807295+0.000000j)
 (1716.867470+0.000000j)	 (1.420000+0.000000j)	 (1.804890+0.000000j)
 (1719.277108+0.000000j)	 (1.420000+0.000000j)	 (1.802496-0.000000j)
 (1721.686747+0.000000j)	 (1.420000+0.000000j)	 (1.800112+0.000000j)
 (1724.096386+0.000000j)	 (1.420000+0.000000j)	 (1.797740+0.000000j)
 (1726.506024+0.000000j)	 (1.420000+0.000000j)	 (1.795379+0.000000j)
 (1728.915663+0.000000j)	 (1.420000+0.000000j)	 (1.793029+0.000000j)
 (1731.325301+0.000000j)	 (1.420000+0.000000j)	 (1.790690+0.000000j)
 (1733.734940+0.000000j)	 (1.420000+0.000000j)	 (1.788363+0.000000j)
