# wavelength[nm] / analyte_index / effective index isolated plasmonic lossless
 (1765.060241+0.000000j)	 (1.420000+0.000000j)	 (1.913468+0.000000j)
 (1767.469880+0.000000j)	 (1.420000+0.000000j)	 (1.912175+0.000000j)
 (1769.879518+0.000000j)	 (1.420000+0.000000j)	 (1.910886+0.000000j)
 (1772.289157+0.000000j)	 (1.420000+0.000000j)	 (1.909602+0.000000j)
 (1774.698795+0.000000j)	 (1.420000+0.000000j)	 (1.908322-0.000000j)
 (1777.108434+0.000000j)	 (1.420000+0.000000j)	 (1.907046+0.000000j)
 (1779.518072+0.000000j)	 (1.420000+0.000000j)	 (1.905774+0.000000j)
 (1781.927711+0.000000j)	 (1.420000+0.000000j)	 (1.904507-0.000000j)
 (1784.337349+0.000000j)	 (1.420000+0.000000j)	 (1.903244+0.000000j)
 (1786.746988+0.000000j)	 (1.420000+0.000000j)	 (1.901985+0.000000j)
 (1789.156627+0.000000j)	 (1.420000+0.000000j)	 (1.900731-0.000000j)
 (1791.566265+0.000000j)	 (1.420000+0.000000j)	 (1.899481+0.000000j)
 (1793.975904+0.000000j)	 (1.420000+0.000000j)	 (1.898235+0.000000j)
 (1796.385542+0.000000j)	 (1.420000+0.000000j)	 (1.896993+0.000000j)
 (1798.795181+0.000000j)	 (1.420000+0.000000j)	 (1.895756+0.000000j)
 (1801.204819+0.000000j)	 (1.420000+0.000000j)	 (1.894523-0.000000j)
 (1803.614458+0.000000j)	 (1.420000+0.000000j)	 (1.893294+0.000000j)
 (1806.024096+0.000000j)	 (1.420000+0.000000j)	 (1.892069-0.000000j)
 (1808.433735+0.000000j)	 (1.420000+0.000000j)	 (1.890849+0.000000j)
 (1810.843373+0.000000j)	 (1.420000+0.000000j)	 (1.889632-0.000000j)
 (1813.253012+0.000000j)	 (1.420000+0.000000j)	 (1.888420+0.000000j)
 (1815.662651+0.000000j)	 (1.420000+0.000000j)	 (1.887213-0.000000j)
 (1818.072289+0.000000j)	 (1.420000+0.000000j)	 (1.886009+0.000000j)
 (1820.481928+0.000000j)	 (1.420000+0.000000j)	 (1.884809+0.000000j)
 (1822.891566+0.000000j)	 (1.420000+0.000000j)	 (1.883614+0.000000j)
 (1825.301205+0.000000j)	 (1.420000+0.000000j)	 (1.882423-0.000000j)
 (1827.710843+0.000000j)	 (1.420000+0.000000j)	 (1.881236+0.000000j)
 (1830.120482+0.000000j)	 (1.420000+0.000000j)	 (1.880053+0.000000j)
 (1832.530120+0.000000j)	 (1.420000+0.000000j)	 (1.878875+0.000000j)
 (1834.939759+0.000000j)	 (1.420000+0.000000j)	 (1.877700+0.000000j)
 (1837.349398+0.000000j)	 (1.420000+0.000000j)	 (1.876530+0.000000j)
 (1839.759036+0.000000j)	 (1.420000+0.000000j)	 (1.875364-0.000000j)
 (1842.168675+0.000000j)	 (1.420000+0.000000j)	 (1.874202-0.000000j)
 (1844.578313+0.000000j)	 (1.420000+0.000000j)	 (1.873044+0.000000j)
