# wavelength[nm] / analyte_index / effective index isolated dielectric
 (1574.698795+0.000000j)	 (1.420000+0.000000j)	 (2.041932+0.000000j)
 (1577.108434+0.000000j)	 (1.420000+0.000000j)	 (2.039126+0.000000j)
 (1579.518072+0.000000j)	 (1.420000+0.000000j)	 (2.036330+0.000000j)
 (1581.927711+0.000000j)	 (1.420000+0.000000j)	 (2.033544+0.000000j)
 (1584.337349+0.000000j)	 (1.420000+0.000000j)	 (2.030768-0.000000j)
 (1586.746988+0.000000j)	 (1.420000+0.000000j)	 (2.028003-0.000000j)
 (1589.156627+0.000000j)	 (1.420000+0.000000j)	 (2.025247+0.000000j)
 (1591.566265+0.000000j)	 (1.420000+0.000000j)	 (2.022501+0.000000j)
 (1593.975904+0.000000j)	 (1.420000+0.000000j)	 (2.019766-0.000000j)
 (1596.385542+0.000000j)	 (1.420000+0.000000j)	 (2.017041+0.000000j)
 (1598.795181+0.000000j)	 (1.420000+0.000000j)	 (2.014325+0.000000j)
 (1601.204819+0.000000j)	 (1.420000+0.000000j)	 (2.011621+0.000000j)
 (1603.614458+0.000000j)	 (1.420000+0.000000j)	 (2.008926+0.000000j)
 (1606.024096+0.000000j)	 (1.420000+0.000000j)	 (2.006242+0.000000j)
 (1608.433735+0.000000j)	 (1.420000+0.000000j)	 (2.003568-0.000000j)
 (1610.843373+0.000000j)	 (1.420000+0.000000j)	 (2.000905+0.000000j)
 (1613.253012+0.000000j)	 (1.420000+0.000000j)	 (1.998252+0.000000j)
 (1615.662651+0.000000j)	 (1.420000+0.000000j)	 (1.995609+0.000000j)
 (1618.072289+0.000000j)	 (1.420000+0.000000j)	 (1.992977+0.000000j)
 (1620.481928+0.000000j)	 (1.420000+0.000000j)	 (1.990355+0.000000j)
 (1622.891566+0.000000j)	 (1.420000+0.000000j)	 (1.987744+0.000000j)
 (1625.301205+0.000000j)	 (1.420000+0.000000j)	 (1.985143+0.000000j)
 (1627.710843+0.000000j)	 (1.420000+0.000000j)	 (1.982553-0.000000j)
 (1630.120482+0.000000j)	 (1.420000+0.000000j)	 (1.979974+0.000000j)
 (1632.530120+0.000000j)	 (1.420000+0.000000j)	 (1.977405-0.000000j)
 (1634.939759+0.000000j)	 (1.420000+0.000000j)	 (1.974847-0.000000j)
 (1637.349398+0.000000j)	 (1.420000+0.000000j)	 (1.972299+0.000000j)
 (1639.759036+0.000000j)	 (1.420000+0.000000j)	 (1.969762+0.000000j)
 (1642.168675+0.000000j)	 (1.420000+0.000000j)	 (1.967236+0.000000j)
 (1644.578313+0.000000j)	 (1.420000+0.000000j)	 (1.964720+0.000000j)
 (1646.987952+0.000000j)	 (1.420000+0.000000j)	 (1.962216-0.000000j)
 (1649.397590+0.000000j)	 (1.420000+0.000000j)	 (1.959721+0.000000j)
 (1651.807229+0.000000j)	 (1.420000+0.000000j)	 (1.957238+0.000000j)
 (1654.216867+0.000000j)	 (1.420000+0.000000j)	 (1.954765+0.000000j)
 (1656.626506+0.000000j)	 (1.420000+0.000000j)	 (1.952303+0.000000j)
 (1659.036145+0.000000j)	 (1.420000+0.000000j)	 (1.949852+0.000000j)
 (1661.445783+0.000000j)	 (1.420000+0.000000j)	 (1.947411+0.000000j)
 (1663.855422+0.000000j)	 (1.420000+0.000000j)	 (1.944982+0.000000j)
 (1666.265060+0.000000j)	 (1.420000+0.000000j)	 (1.942563+0.000000j)
 (1668.674699+0.000000j)	 (1.420000+0.000000j)	 (1.940155+0.000000j)
 (1671.084337+0.000000j)	 (1.420000+0.000000j)	 (1.937757+0.000000j)
 (1673.493976+0.000000j)	 (1.420000+0.000000j)	 (1.935371-0.000000j)
 (1675.903614+0.000000j)	 (1.420000+0.000000j)	 (1.932995-0.000000j)
 (1678.313253+0.000000j)	 (1.420000+0.000000j)	 (1.930630-0.000000j)
 (1680.722892+0.000000j)	 (1.420000+0.000000j)	 (1.928275-0.000000j)
 (1683.132530+0.000000j)	 (1.420000+0.000000j)	 (1.925932+0.000000j)
 (1685.542169+0.000000j)	 (1.420000+0.000000j)	 (1.923599-0.000000j)
 (1687.951807+0.000000j)	 (1.420000+0.000000j)	 (1.921277+0.000000j)
 (1690.361446+0.000000j)	 (1.420000+0.000000j)	 (1.918966+0.000000j)
 (1692.771084+0.000000j)	 (1.420000+0.000000j)	 (1.916666+0.000000j)
 (1695.180723+0.000000j)	 (1.420000+0.000000j)	 (1.914376+0.000000j)
 (1697.590361+0.000000j)	 (1.420000+0.000000j)	 (1.912097-0.000000j)
 (1700.000000+0.000000j)	 (1.420000+0.000000j)	 (1.909829+0.000000j)
 (1702.409639+0.000000j)	 (1.420000+0.000000j)	 (1.907572+0.000000j)
 (1704.819277+0.000000j)	 (1.420000+0.000000j)	 (1.905325+0.000000j)
 (1707.228916+0.000000j)	 (1.420000+0.000000j)	 (1.903089+0.000000j)
 (1709.638554+0.000000j)	 (1.420000+0.000000j)	 (1.900864+0.000000j)
 (1712.048193+0.000000j)	 (1.420000+0.000000j)	 (1.898650+0.000000j)
 (1714.457831+0.000000j)	 (1.420000+0.000000j)	 (1.896446-0.000000j)
 (1716.867470+0.000000j)	 (1.420000+0.000000j)	 (1.894253+0.000000j)
 (1719.277108+0.000000j)	 (1.420000+0.000000j)	 (1.892070+0.000000j)
 (1721.686747+0.000000j)	 (1.420000+0.000000j)	 (1.889898-0.000000j)
 (1724.096386+0.000000j)	 (1.420000+0.000000j)	 (1.887737-0.000000j)
 (1726.506024+0.000000j)	 (1.420000+0.000000j)	 (1.885586+0.000000j)
 (1728.915663+0.000000j)	 (1.420000+0.000000j)	 (1.883446+0.000000j)
 (1731.325301+0.000000j)	 (1.420000+0.000000j)	 (1.881317+0.000000j)
 (1733.734940+0.000000j)	 (1.420000+0.000000j)	 (1.879198+0.000000j)
 (1736.144578+0.000000j)	 (1.420000+0.000000j)	 (1.877090+0.000000j)
 (1738.554217+0.000000j)	 (1.420000+0.000000j)	 (1.874992+0.000000j)
 (1740.963855+0.000000j)	 (1.420000+0.000000j)	 (1.872905+0.000000j)
 (1743.373494+0.000000j)	 (1.420000+0.000000j)	 (1.870828+0.000000j)
