# wavelength[nm] / analyte_index / effective index supermode 1 lossy
 (1557.831325+0.000000j)	 (1.420000+0.000000j)	 (2.082674+0.029073j)
 (1560.240964+0.000000j)	 (1.420000+0.000000j)	 (2.080463+0.029851j)
 (1562.650602+0.000000j)	 (1.420000+0.000000j)	 (2.078289+0.030638j)
 (1565.060241+0.000000j)	 (1.420000+0.000000j)	 (2.076154+0.031433j)
 (1567.469880+0.000000j)	 (1.420000+0.000000j)	 (2.074058+0.032234j)
 (1569.879518+0.000000j)	 (1.420000+0.000000j)	 (2.072003+0.033039j)
 (1572.289157+0.000000j)	 (1.420000+0.000000j)	 (2.069988+0.033846j)
 (1574.698795+0.000000j)	 (1.420000+0.000000j)	 (2.068015+0.034654j)
 (1577.108434+0.000000j)	 (1.420000+0.000000j)	 (2.066083+0.035461j)
 (1579.518072+0.000000j)	 (1.420000+0.000000j)	 (2.064193+0.036264j)
 (1581.927711+0.000000j)	 (1.420000+0.000000j)	 (2.062345+0.037062j)
 (1584.337349+0.000000j)	 (1.420000+0.000000j)	 (2.060537+0.037852j)
 (1586.746988+0.000000j)	 (1.420000+0.000000j)	 (2.058771+0.038633j)
 (1589.156627+0.000000j)	 (1.420000+0.000000j)	 (2.057043+0.039402j)
 (1591.566265+0.000000j)	 (1.420000+0.000000j)	 (2.055355+0.040157j)
 (1593.975904+0.000000j)	 (1.420000+0.000000j)	 (2.053703+0.040897j)
 (1596.385542+0.000000j)	 (1.420000+0.000000j)	 (2.052087+0.041621j)
 (1598.795181+0.000000j)	 (1.420000+0.000000j)	 (2.050506+0.042326j)
 (1601.204819+0.000000j)	 (1.420000+0.000000j)	 (2.048957+0.043012j)
 (1603.614458+0.000000j)	 (1.420000+0.000000j)	 (2.047439+0.043678j)
 (1606.024096+0.000000j)	 (1.420000+0.000000j)	 (2.045949+0.044323j)
 (1608.433735+0.000000j)	 (1.420000+0.000000j)	 (2.044487+0.044946j)
 (1610.843373+0.000000j)	 (1.420000+0.000000j)	 (2.043051+0.045547j)
 (1613.253012+0.000000j)	 (1.420000+0.000000j)	 (2.041638+0.046127j)
 (1615.662651+0.000000j)	 (1.420000+0.000000j)	 (2.040247+0.046684j)
 (1618.072289+0.000000j)	 (1.420000+0.000000j)	 (2.038877+0.047219j)
 (1620.481928+0.000000j)	 (1.420000+0.000000j)	 (2.037525+0.047732j)
 (1622.891566+0.000000j)	 (1.420000+0.000000j)	 (2.036191+0.048224j)
 (1625.301205+0.000000j)	 (1.420000+0.000000j)	 (2.034873+0.048695j)
 (1627.710843+0.000000j)	 (1.420000+0.000000j)	 (2.033570+0.049145j)
 (1630.120482+0.000000j)	 (1.420000+0.000000j)	 (2.032281+0.049575j)
 (1632.530120+0.000000j)	 (1.420000+0.000000j)	 (2.031005+0.049985j)
 (1634.939759+0.000000j)	 (1.420000+0.000000j)	 (2.029741+0.050377j)
 (1637.349398+0.000000j)	 (1.420000+0.000000j)	 (2.028487+0.050750j)
 (1639.759036+0.000000j)	 (1.420000+0.000000j)	 (2.027244+0.051106j)
 (1642.168675+0.000000j)	 (1.420000+0.000000j)	 (2.026010+0.051444j)
 (1644.578313+0.000000j)	 (1.420000+0.000000j)	 (2.024785+0.051766j)
 (1646.987952+0.000000j)	 (1.420000+0.000000j)	 (2.023569+0.052072j)
 (1649.397590+0.000000j)	 (1.420000+0.000000j)	 (2.022360+0.052363j)
 (1651.807229+0.000000j)	 (1.420000+0.000000j)	 (2.021159+0.052640j)
 (1654.216867+0.000000j)	 (1.420000+0.000000j)	 (2.019964+0.052902j)
 (1656.626506+0.000000j)	 (1.420000+0.000000j)	 (2.018776+0.053151j)
 (1659.036145+0.000000j)	 (1.420000+0.000000j)	 (2.017594+0.053387j)
 (1661.445783+0.000000j)	 (1.420000+0.000000j)	 (2.016417+0.053610j)
 (1663.855422+0.000000j)	 (1.420000+0.000000j)	 (2.015247+0.053822j)
 (1666.265060+0.000000j)	 (1.420000+0.000000j)	 (2.014081+0.054023j)
 (1668.674699+0.000000j)	 (1.420000+0.000000j)	 (2.012921+0.054212j)
 (1671.084337+0.000000j)	 (1.420000+0.000000j)	 (2.011766+0.054391j)
 (1673.493976+0.000000j)	 (1.420000+0.000000j)	 (2.010615+0.054560j)
