# wavelength[nm] / analyte_index / effective index supermode 1 lossless
 (1668.674699+0.000000j)	 (1.420000+0.000000j)	 (2.038636+0.000000j)
 (1671.084337+0.000000j)	 (1.420000+0.000000j)	 (2.037255+0.000000j)
 (1673.493976+0.000000j)	 (1.420000+0.000000j)	 (2.035881-0.000000j)
 (1675.903614+0.000000j)	 (1.420000+0.000000j)	 (2.034514-0.000000j)
 (1678.313253+0.000000j)	 (1.420000+0.000000j)	 (2.033155-0.000000j)
 (1680.722892+0.000000j)	 (1.420000+0.000000j)	 (2.031804-0.000000j)
 (1683.132530+0.000000j)	 (1.420000+0.000000j)	 (2.030460-0.000000j)
 (1685.542169+0.000000j)	 (1.420000+0.000000j)	 (2.029123+0.000000j)
 (1687.951807+0.000000j)	 (1.420000+0.000000j)	 (2.027793-0.000000j)
 (1690.361446+0.000000j)	 (1.420000+0.000000j)	 (2.026470+0.000000j)
 (1692.771084+0.000000j)	 (1.420000+0.000000j)	 (2.025155+0.000000j)
 (1695.180723+0.000000j)	 (1.420000+0.000000j)	 (2.023846+0.000000j)
 (1697.590361+0.000000j)	 (1.420000+0.000000j)	 (2.022545-0.000000j)
 (1700.000000+0.000000j)	 (1.420000+0.000000j)	 (2.021250+0.000000j)
 (1702.409639+0.000000j)	 (1.420000+0.000000j)	 (2.019962-0.000000j)
 (1704.819277+0.000000j)	 (1.420000+0.000000j)	 (2.018680+0.000000j)
 (1707.228916+0.000000j)	 (1.420000+0.000000j)	 (2.017406-0.000000j)
 (1709.638554+0.000000j)	 (1.420000+0.000000j)	 (2.016138-0.000000j)
 (1712.048193+0.000000j)	 (1.420000+0.000000j)	 (2.014876+0.000000j)
 (1714.457831+0.000000j)	 (1.420000+0.000000j)	 (2.013621+0.000000j)
 (1716.867470+0.000000j)	 (1.420000+0.000000j)	 (2.012373-0.000000j)
 (1719.277108+0.000000j)	 (1.420000+0.000000j)	 (2.011130+0.000000j)
 (1721.686747+0.000000j)	 (1.420000+0.000000j)	 (2.009895+0.000000j)
 (1724.096386+0.000000j)	 (1.420000+0.000000j)	 (2.008665+0.000000j)
 (1726.506024+0.000000j)	 (1.420000+0.000000j)	 (2.007442-0.000000j)
 (1728.915663+0.000000j)	 (1.420000+0.000000j)	 (2.006225+0.000000j)
 (1731.325301+0.000000j)	 (1.420000+0.000000j)	 (2.005014-0.000000j)
 (1733.734940+0.000000j)	 (1.420000+0.000000j)	 (2.003809-0.000000j)
 (1736.144578+0.000000j)	 (1.420000+0.000000j)	 (2.002610+0.000000j)
 (1738.554217+0.000000j)	 (1.420000+0.000000j)	 (2.001417+0.000000j)
 (1740.963855+0.000000j)	 (1.420000+0.000000j)	 (2.000230-0.000000j)
 (1743.373494+0.000000j)	 (1.420000+0.000000j)	 (1.999049-0.000000j)
 (1745.783133+0.000000j)	 (1.420000+0.000000j)	 (1.997873+0.000000j)
 (1748.192771+0.000000j)	 (1.420000+0.000000j)	 (1.996704+0.000000j)
 (1750.602410+0.000000j)	 (1.420000+0.000000j)	 (1.995540+0.000000j)
 (1753.012048+0.000000j)	 (1.420000+0.000000j)	 (1.994383-0.000000j)
 (1755.421687+0.000000j)	 (1.420000+0.000000j)	 (1.993230+0.000000j)
 (1757.831325+0.000000j)	 (1.420000+0.000000j)	 (1.992084+0.000000j)
 (1760.240964+0.000000j)	 (1.420000+0.000000j)	 (1.990943+0.000000j)
 (1762.650602+0.000000j)	 (1.420000+0.000000j)	 (1.989807+0.000000j)
 (1765.060241+0.000000j)	 (1.420000+0.000000j)	 (1.988678+0.000000j)
 (1767.469880+0.000000j)	 (1.420000+0.000000j)	 (1.987553-0.000000j)
 (1769.879518+0.000000j)	 (1.420000+0.000000j)	 (1.986434+0.000000j)
 (1772.289157+0.000000j)	 (1.420000+0.000000j)	 (1.985321-0.000000j)
 (1774.698795+0.000000j)	 (1.420000+0.000000j)	 (1.984213-0.000000j)
 (1777.108434+0.000000j)	 (1.420000+0.000000j)	 (1.983110+0.000000j)
 (1779.518072+0.000000j)	 (1.420000+0.000000j)	 (1.982012+0.000000j)
 (1781.927711+0.000000j)	 (1.420000+0.000000j)	 (1.980920-0.000000j)
 (1784.337349+0.000000j)	 (1.420000+0.000000j)	 (1.979833+0.000000j)
 (1786.746988+0.000000j)	 (1.420000+0.000000j)	 (1.978751-0.000000j)
 (1789.156627+0.000000j)	 (1.420000+0.000000j)	 (1.977675-0.000000j)
 (1791.566265+0.000000j)	 (1.420000+0.000000j)	 (1.976603-0.000000j)
 (1793.975904+0.000000j)	 (1.420000+0.000000j)	 (1.975537-0.000000j)
 (1796.385542+0.000000j)	 (1.420000+0.000000j)	 (1.974476-0.000000j)
 (1798.795181+0.000000j)	 (1.420000+0.000000j)	 (1.973420-0.000000j)
 (1801.204819+0.000000j)	 (1.420000+0.000000j)	 (1.972368+0.000000j)
 (1803.614458+0.000000j)	 (1.420000+0.000000j)	 (1.971322+0.000000j)
 (1806.024096+0.000000j)	 (1.420000+0.000000j)	 (1.970281-0.000000j)
 (1808.433735+0.000000j)	 (1.420000+0.000000j)	 (1.969244+0.000000j)
 (1810.843373+0.000000j)	 (1.420000+0.000000j)	 (1.968213-0.000000j)
 (1813.253012+0.000000j)	 (1.420000+0.000000j)	 (1.967186+0.000000j)
 (1815.662651+0.000000j)	 (1.420000+0.000000j)	 (1.966164-0.000000j)
 (1818.072289+0.000000j)	 (1.420000+0.000000j)	 (1.965147+0.000000j)
 (1820.481928+0.000000j)	 (1.420000+0.000000j)	 (1.964135+0.000000j)
 (1822.891566+0.000000j)	 (1.420000+0.000000j)	 (1.963127-0.000000j)
 (1825.301205+0.000000j)	 (1.420000+0.000000j)	 (1.962124+0.000000j)
 (1827.710843+0.000000j)	 (1.420000+0.000000j)	 (1.961126-0.000000j)
 (1830.120482+0.000000j)	 (1.420000+0.000000j)	 (1.960132-0.000000j)
 (1832.530120+0.000000j)	 (1.420000+0.000000j)	 (1.959143+0.000000j)
 (1834.939759+0.000000j)	 (1.420000+0.000000j)	 (1.958159+0.000000j)
 (1837.349398+0.000000j)	 (1.420000+0.000000j)	 (1.957179+0.000000j)
 (1839.759036+0.000000j)	 (1.420000+0.000000j)	 (1.956203-0.000000j)
 (1842.168675+0.000000j)	 (1.420000+0.000000j)	 (1.955232+0.000000j)
 (1844.578313+0.000000j)	 (1.420000+0.000000j)	 (1.954266+0.000000j)
 (1846.987952+0.000000j)	 (1.420000+0.000000j)	 (1.953304-0.000000j)
 (1849.397590+0.000000j)	 (1.420000+0.000000j)	 (1.952346-0.000000j)
 (1851.807229+0.000000j)	 (1.420000+0.000000j)	 (1.951393-0.000000j)
 (1854.216867+0.000000j)	 (1.420000+0.000000j)	 (1.950444-0.000000j)
 (1856.626506+0.000000j)	 (1.420000+0.000000j)	 (1.949500-0.000000j)
 (1859.036145+0.000000j)	 (1.420000+0.000000j)	 (1.948559-0.000000j)
 (1861.445783+0.000000j)	 (1.420000+0.000000j)	 (1.947623+0.000000j)
 (1863.855422+0.000000j)	 (1.420000+0.000000j)	 (1.946692-0.000000j)
 (1866.265060+0.000000j)	 (1.420000+0.000000j)	 (1.945764+0.000000j)
 (1868.674699+0.000000j)	 (1.420000+0.000000j)	 (1.944841+0.000000j)
 (1871.084337+0.000000j)	 (1.420000+0.000000j)	 (1.943922+0.000000j)
